time,entry_dir,no_etc,use_etc,pre_3min_dir,pre_3min_etc,pre_3min_no_etc,pre_5min_dir,pre_5min_etc,pre_5min_no_etc,pre_7min_dir,pre_7min_etc,pre_7min_no_etc,pre_10min_dir,pre_10min_etc,pre_10min_no_etc,etc_rate
2016/9/19 0:00,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0.692307692
2016/9/19 0:20,6,5,1,5,3,2,6,3,3,8,3,5,8,3,5,0.833333333
2016/9/19 0:40,9,8,1,1,0,1,2,0,2,3,0,3,3,0,3,0.888888889
2016/9/19 1:00,10,9,1,1,0,1,2,0,2,3,0,3,3,0,3,0.9
2016/9/19 1:20,14,11,3,3,0,3,4,0,4,6,0,6,9,1,8,0.785714286
2016/9/19 1:40,10,10,0,0,0,0,0,0,0,2,1,1,6,1,5,1
2016/9/19 2:00,7,6,1,3,0,3,5,0,5,5,0,5,7,0,7,0.857142857
2016/9/19 2:20,10,9,1,1,0,1,2,0,2,4,0,4,4,0,4,0.9
2016/9/19 2:40,6,6,0,1,0,1,4,0,4,4,0,4,4,0,4,1
2016/9/19 3:00,9,9,0,0,0,0,1,0,1,1,0,1,2,0,2,1
2016/9/19 3:20,4,3,1,0,0,0,2,0,2,5,0,5,5,0,5,0.75
2016/9/19 3:40,9,7,2,0,0,0,0,0,0,1,1,0,2,1,1,0.777777778
2016/9/19 4:00,10,10,0,2,0,2,2,0,2,3,0,3,4,0,4,1
2016/9/19 4:20,13,13,0,3,0,3,3,0,3,4,0,4,5,0,5,1
2016/9/19 4:40,12,12,0,4,0,4,6,0,6,6,0,6,7,0,7,1
2016/9/19 5:00,2,2,0,4,0,4,4,0,4,4,0,4,6,0,6,1
2016/9/19 5:20,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0.75
2016/9/19 5:40,13,11,2,0,0,0,5,2,3,5,2,3,7,2,5,0.846153846
2016/9/19 6:00,8,6,2,2,0,2,4,1,3,5,2,3,7,2,5,0.75
2016/9/19 6:20,13,8,5,3,2,1,4,2,2,4,2,2,4,2,2,0.615384615
2016/9/19 6:40,32,23,9,1,1,0,3,2,1,4,3,1,7,3,4,0.71875
2016/9/19 7:00,39,29,10,3,2,1,5,2,3,9,2,7,13,4,9,0.743589744
2016/9/19 7:20,31,20,11,6,2,4,12,2,10,18,4,14,20,5,15,0.64516129
2016/9/19 7:40,43,27,16,7,4,3,9,5,4,11,6,5,16,7,9,0.627906977
2016/9/19 8:00,46,29,17,9,4,5,14,5,9,17,6,11,23,9,14,0.630434783
2016/9/19 8:20,56,39,17,8,5,3,12,7,5,17,9,8,26,13,13,0.696428571
2016/9/19 8:40,41,32,9,13,6,7,16,7,9,21,8,13,25,9,16,0.780487805
2016/9/19 9:00,50,32,18,3,1,2,5,1,4,9,3,6,24,5,19,0.64
2016/9/19 9:20,49,39,10,7,2,5,12,2,10,18,4,14,22,6,16,0.795918367
2016/9/19 9:40,44,41,3,6,1,5,10,2,8,21,5,16,28,7,21,0.931818182
2016/9/19 10:00,44,37,7,7,2,5,11,2,9,13,2,11,21,3,18,0.840909091
2016/9/19 10:20,44,38,6,8,1,7,13,1,12,17,1,16,24,3,21,0.863636364
2016/9/19 10:40,44,34,10,8,3,5,14,4,10,19,5,14,24,5,19,0.772727273
2016/9/19 11:00,39,30,9,7,2,5,13,4,9,14,4,10,21,6,15,0.769230769
2016/9/19 11:20,30,23,7,5,1,4,12,2,10,14,3,11,23,5,18,0.766666667
2016/9/19 11:40,34,24,10,4,1,3,7,1,6,12,1,11,16,2,14,0.705882353
2016/9/19 12:00,45,37,8,6,0,6,9,1,8,12,2,10,20,3,17,0.822222222
2016/9/19 12:20,44,30,14,7,2,5,16,2,14,23,3,20,31,5,26,0.681818182
2016/9/19 12:40,53,35,18,4,0,4,12,6,6,18,6,12,26,11,15,0.660377358
2016/9/19 13:00,57,40,17,14,7,7,18,9,9,20,9,11,27,11,16,0.701754386
2016/9/19 13:20,61,44,17,8,3,5,17,6,11,23,8,15,38,12,26,0.721311475
2016/9/19 13:40,53,36,17,7,2,5,16,4,12,24,6,18,31,8,23,0.679245283
2016/9/19 14:00,55,40,15,9,3,6,14,5,9,16,5,11,25,7,18,0.727272727
2016/9/19 14:20,52,42,10,3,0,3,10,1,9,12,2,10,26,7,19,0.807692308
