is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"1","0","0","0","0","0","43","31","39","32","13","8","34","2016-09-19 08:00:00","46"
"0","1","0","0","0","0","46","43","31","39","32","13","41","2016-09-19 08:20:00","56"
"0","0","1","0","0","0","56","46","43","31","39","32","42","2016-09-19 08:40:00","41"
"0","0","0","1","0","0","41","56","46","43","31","39","44","2016-09-19 09:00:00","50"
"0","0","0","0","1","0","50","41","56","46","43","31","47","2016-09-19 09:20:00","49"
"0","0","0","0","0","1","49","50","41","56","46","43","47","2016-09-19 09:40:00","44"
"1","0","0","0","0","0","55","46","42","43","57","48","46","2016-09-19 17:00:00","36"
"0","1","0","0","0","0","36","55","46","42","43","57","42","2016-09-19 17:20:00","34"
"0","0","1","0","0","0","34","36","55","46","42","43","39","2016-09-19 17:40:00","24"
"0","0","0","1","0","0","24","34","36","55","46","42","37","2016-09-19 18:00:00","29"
"0","0","0","0","1","0","29","24","34","36","55","46","34","2016-09-19 18:20:00","27"
"0","0","0","0","0","1","27","29","24","34","36","55","28","2016-09-19 18:40:00","18"
"1","0","0","0","0","0","31","30","38","29","20","13","33","2016-09-20 08:00:00","53"
"0","1","0","0","0","0","53","31","30","38","29","20","38","2016-09-20 08:20:00","50"
"0","0","1","0","0","0","50","53","31","30","38","29","41","2016-09-20 08:40:00","45"
"0","0","0","1","0","0","45","50","53","31","30","38","43","2016-09-20 09:00:00","51"
"0","0","0","0","1","0","51","45","50","53","31","30","49","2016-09-20 09:20:00","68"
"0","0","0","0","0","1","68","51","45","50","53","31","54","2016-09-20 09:40:00","59"
"1","0","0","0","0","0","48","57","48","73","64","71","54","2016-09-20 17:00:00","38"
"0","1","0","0","0","0","38","48","57","48","73","64","51","2016-09-20 17:20:00","42"
"0","0","1","0","0","0","42","38","48","57","48","73","45","2016-09-20 17:40:00","38"
"0","0","0","1","0","0","38","42","38","48","57","48","41","2016-09-20 18:00:00","26"
"0","0","0","0","1","0","26","38","42","38","48","57","36","2016-09-20 18:20:00","29"
"0","0","0","0","0","1","29","26","38","42","38","48","32","2016-09-20 18:40:00","20"
