is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"1","0","0","0","0","0","118","83","70","72","57","39","73","2016-09-19 08:00:00","123"
"0","1","0","0","0","0","118","83","70","72","57","39","73","2016-09-19 08:20:00","119"
"0","0","1","0","0","0","118","83","70","72","57","39","73","2016-09-19 08:40:00","116"
"0","0","0","1","0","0","118","83","70","72","57","39","73","2016-09-19 09:00:00","120"
"0","0","0","0","1","0","118","83","70","72","57","39","73","2016-09-19 09:20:00","151"
"0","0","0","0","0","1","118","83","70","72","57","39","73","2016-09-19 09:40:00","131"
"1","0","0","0","0","0","116","122","110","92","104","77","103","2016-09-19 17:00:00","96"
"0","1","0","0","0","0","116","122","110","92","104","77","103","2016-09-19 17:20:00","116"
"0","0","1","0","0","0","116","122","110","92","104","77","103","2016-09-19 17:40:00","112"
"0","0","0","1","0","0","116","122","110","92","104","77","103","2016-09-19 18:00:00","67"
"0","0","0","0","1","0","116","122","110","92","104","77","103","2016-09-19 18:20:00","94"
"0","0","0","0","0","1","116","122","110","92","104","77","103","2016-09-19 18:40:00","65"
"1","0","0","0","0","0","139","126","88","69","59","47","88","2016-09-20 08:00:00","132"
"0","1","0","0","0","0","139","126","88","69","59","47","88","2016-09-20 08:20:00","151"
"0","0","1","0","0","0","139","126","88","69","59","47","88","2016-09-20 08:40:00","131"
"0","0","0","1","0","0","139","126","88","69","59","47","88","2016-09-20 09:00:00","150"
"0","0","0","0","1","0","139","126","88","69","59","47","88","2016-09-20 09:20:00","142"
"0","0","0","0","0","1","139","126","88","69","59","47","88","2016-09-20 09:40:00","173"
"1","0","0","0","0","0","95","96","95","71","79","78","85","2016-09-20 17:00:00","111"
"0","1","0","0","0","0","95","96","95","71","79","78","85","2016-09-20 17:20:00","110"
"0","0","1","0","0","0","95","96","95","71","79","78","85","2016-09-20 17:40:00","133"
"0","0","0","1","0","0","95","96","95","71","79","78","85","2016-09-20 18:00:00","78"
"0","0","0","0","1","0","95","96","95","71","79","78","85","2016-09-20 18:20:00","60"
"0","0","0","0","0","1","95","96","95","71","79","78","85","2016-09-20 18:40:00","53"
"1","0","0","0","0","0","99","94","77","71","50","36","71","2016-09-21 08:00:00","100"
"0","1","0","0","0","0","99","94","77","71","50","36","71","2016-09-21 08:20:00","105"
"0","0","1","0","0","0","99","94","77","71","50","36","71","2016-09-21 08:40:00","119"
"0","0","0","1","0","0","99","94","77","71","50","36","71","2016-09-21 09:00:00","137"
"0","0","0","0","1","0","99","94","77","71","50","36","71","2016-09-21 09:20:00","132"
"0","0","0","0","0","1","99","94","77","71","50","36","71","2016-09-21 09:40:00","122"
"1","0","0","0","0","0","98","97","105","90","96","98","97","2016-09-21 17:00:00","94"
