is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"1","0","0","0","0","0","97","80","84","37","36","30","60","2016-09-19 08:00:00","129"
"0","1","0","0","0","0","97","80","84","37","36","30","60","2016-09-19 08:20:00","122"
"0","0","1","0","0","0","97","80","84","37","36","30","60","2016-09-19 08:40:00","98"
"0","0","0","1","0","0","97","80","84","37","36","30","60","2016-09-19 09:00:00","89"
"0","0","0","0","1","0","97","80","84","37","36","30","60","2016-09-19 09:20:00","78"
"0","0","0","0","0","1","97","80","84","37","36","30","60","2016-09-19 09:40:00","59"
"1","0","0","0","0","0","99","86","76","74","67","77","79","2016-09-19 17:00:00","85"
"0","1","0","0","0","0","99","86","76","74","67","77","79","2016-09-19 17:20:00","72"
"0","0","1","0","0","0","99","86","76","74","67","77","79","2016-09-19 17:40:00","53"
"0","0","0","1","0","0","99","86","76","74","67","77","79","2016-09-19 18:00:00","55"
"0","0","0","0","1","0","99","86","76","74","67","77","79","2016-09-19 18:20:00","50"
"0","0","0","0","0","1","99","86","76","74","67","77","79","2016-09-19 18:40:00","49"
"1","0","0","0","0","0","93","86","79","54","31","33","62","2016-09-20 08:00:00","112"
"0","1","0","0","0","0","93","86","79","54","31","33","62","2016-09-20 08:20:00","111"
"0","0","1","0","0","0","93","86","79","54","31","33","62","2016-09-20 08:40:00","112"
"0","0","0","1","0","0","93","86","79","54","31","33","62","2016-09-20 09:00:00","105"
"0","0","0","0","1","0","93","86","79","54","31","33","62","2016-09-20 09:20:00","99"
"0","0","0","0","0","1","93","86","79","54","31","33","62","2016-09-20 09:40:00","87"
"1","0","0","0","0","0","64","76","82","69","69","62","70","2016-09-20 17:00:00","82"
"0","1","0","0","0","0","64","76","82","69","69","62","70","2016-09-20 17:20:00","86"
"0","0","1","0","0","0","64","76","82","69","69","62","70","2016-09-20 17:40:00","85"
"0","0","0","1","0","0","64","76","82","69","69","62","70","2016-09-20 18:00:00","77"
"0","0","0","0","1","0","64","76","82","69","69","62","70","2016-09-20 18:20:00","60"
"0","0","0","0","0","1","64","76","82","69","69","62","70","2016-09-20 18:40:00","56"
"1","0","0","0","0","0","44","37","42","14","9","6","25","2016-09-21 08:00:00","37"
"0","1","0","0","0","0","44","37","42","14","9","6","25","2016-09-21 08:20:00","30"
"0","0","1","0","0","0","44","37","42","14","9","6","25","2016-09-21 08:40:00","66"
"0","0","0","1","0","0","44","37","42","14","9","6","25","2016-09-21 09:00:00","104"
"0","0","0","0","1","0","44","37","42","14","9","6","25","2016-09-21 09:20:00","100"
"0","0","0","0","0","1","44","37","42","14","9","6","25","2016-09-21 09:40:00","80"
"1","0","0","0","0","0","99","81","66","77","81","63","77","2016-09-21 17:00:00","88"
"0","1","0","0","0","0","99","81","66","77","81","63","77","2016-09-21 17:20:00","77"
"0","0","1","0","0","0","99","81","66","77","81","63","77","2016-09-21 17:40:00","83"
"0","0","0","1","0","0","99","81","66","77","81","63","77","2016-09-21 18:00:00","58"
"0","0","0","0","1","0","99","81","66","77","81","63","77","2016-09-21 18:20:00","72"
"0","0","0","0","0","1","99","81","66","77","81","63","77","2016-09-21 18:40:00","49"
"1","0","0","0","0","0","100","79","72","38","31","30","58","2016-09-22 08:00:00","108"
"0","1","0","0","0","0","100","79","72","38","31","30","58","2016-09-22 08:20:00","110"
"0","0","1","0","0","0","100","79","72","38","31","30","58","2016-09-22 08:40:00","101"
