time,Entry
1,42
2,42
3,45
4,41
5,37
6,36
7,35
8,32
9,25
10,20
11,19
12,21
13,36
14,41
15,44
16,45
17,43
18,41
19,40
20,33
21,21
22,20
23,20
24,19
25,44
26,46
27,45
28,44
29,47
30,42
31,38
32,42
33,41
34,34
35,28
36,22
37,31
38,36
39,42
40,41
41,43
42,44
43,43
44,39
45,40
46,34
47,28
48,21
49,43
50,45
51,43
52,46
53,46
54,48
55,50
56,47
57,43
58,32
59,25
60,23
61,35
62,32
63,39
64,36
65,39
66,36
67,47
68,45
69,41
70,35
71,33
72,32
73,43
74,45
75,44
76,43
77,40
78,41
79,35
80,40
81,33
82,21
83,18
84,18
