time,Entry
1,111
2,107
3,105
4,98
5,88
6,76
7,74
8,68
9,68
10,64
11,63
12,55
13,108
14,107
15,106
16,97
17,88
18,74
19,69
20,64
21,64
22,58
23,54
24,53
25,117
26,110
27,112
28,110
29,96
30,85
31,75
32,66
33,66
34,62
35,60
36,53
37,101
38,94
39,93
40,88
41,84
42,71
43,79
44,81
45,77
46,66
47,67
48,56
49,65
50,62
51,63
52,56
53,60
54,57
55,80
56,77
57,73
58,69
59,62
60,58
61,59
62,51
63,55
64,55
65,57
66,51
67,73
68,66
69,65
70,60
71,55
72,50
73,122
74,122
75,121
76,114
77,101
78,91
79,76
80,70
81,67
82,65
83,61
84,52
