time,Entry
1,118
2,122
3,134
4,121
5,120
6,100
7,78
8,79
9,85
10,73
11,66
12,69
13,114
14,119
15,127
16,120
17,121
18,101
19,78
20,81
21,82
22,71
23,62
24,72
25,109
26,112
27,118
28,113
29,109
30,96
31,76
32,82
33,84
34,63
35,64
36,73
37,113
38,112
39,124
40,117
41,114
42,97
43,83
44,88
45,89
46,72
47,74
48,71
49,76
50,78
51,83
52,82
53,77
54,71
55,79
56,83
57,89
58,71
59,68
60,68
61,100
62,101
63,108
64,109
65,102
66,95
67,85
68,89
69,89
70,71
71,76
72,72
73,134
74,147
75,157
76,144
77,140
78,124
79,76
80,79
81,83
82,70
83,66
84,72
