delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"18","15","-2","13","35","1","0","0","0","0","0","39","57","72","70","83","118","73","2016-09-19 08:00:00","123"
"18","15","-2","13","35","0","1","0","0","0","0","39","57","72","70","83","118","73","2016-09-19 08:20:00","119"
"18","15","-2","13","35","0","0","1","0","0","0","39","57","72","70","83","118","73","2016-09-19 08:40:00","116"
"18","15","-2","13","35","0","0","0","1","0","0","39","57","72","70","83","118","73","2016-09-19 09:00:00","120"
"18","15","-2","13","35","0","0","0","0","1","0","39","57","72","70","83","118","73","2016-09-19 09:20:00","151"
"18","15","-2","13","35","0","0","0","0","0","1","39","57","72","70","83","118","73","2016-09-19 09:40:00","131"
"27","-12","18","12","-6","1","0","0","0","0","0","77","104","92","110","122","116","103","2016-09-19 17:00:00","96"
"27","-12","18","12","-6","0","1","0","0","0","0","77","104","92","110","122","116","103","2016-09-19 17:20:00","116"
"27","-12","18","12","-6","0","0","1","0","0","0","77","104","92","110","122","116","103","2016-09-19 17:40:00","112"
"27","-12","18","12","-6","0","0","0","1","0","0","77","104","92","110","122","116","103","2016-09-19 18:00:00","67"
"27","-12","18","12","-6","0","0","0","0","1","0","77","104","92","110","122","116","103","2016-09-19 18:20:00","94"
"27","-12","18","12","-6","0","0","0","0","0","1","77","104","92","110","122","116","103","2016-09-19 18:40:00","65"
"12","10","19","38","13","1","0","0","0","0","0","47","59","69","88","126","139","88","2016-09-20 08:00:00","132"
"12","10","19","38","13","0","1","0","0","0","0","47","59","69","88","126","139","88","2016-09-20 08:20:00","151"
"12","10","19","38","13","0","0","1","0","0","0","47","59","69","88","126","139","88","2016-09-20 08:40:00","131"
"12","10","19","38","13","0","0","0","1","0","0","47","59","69","88","126","139","88","2016-09-20 09:00:00","150"
"12","10","19","38","13","0","0","0","0","1","0","47","59","69","88","126","139","88","2016-09-20 09:20:00","142"
