delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"6","1","47","-4","17","1","0","0","0","0","0","30","36","37","84","80","97","60","2016-09-19 08:00:00","129"
"6","1","47","-4","17","0","1","0","0","0","0","30","36","37","84","80","97","60","2016-09-19 08:20:00","122"
"6","1","47","-4","17","0","0","1","0","0","0","30","36","37","84","80","97","60","2016-09-19 08:40:00","98"
"6","1","47","-4","17","0","0","0","1","0","0","30","36","37","84","80","97","60","2016-09-19 09:00:00","89"
"6","1","47","-4","17","0","0","0","0","1","0","30","36","37","84","80","97","60","2016-09-19 09:20:00","78"
"6","1","47","-4","17","0","0","0","0","0","1","30","36","37","84","80","97","60","2016-09-19 09:40:00","59"
"-10","7","2","10","13","1","0","0","0","0","0","77","67","74","76","86","99","79","2016-09-19 17:00:00","85"
"-10","7","2","10","13","0","1","0","0","0","0","77","67","74","76","86","99","79","2016-09-19 17:20:00","72"
"-10","7","2","10","13","0","0","1","0","0","0","77","67","74","76","86","99","79","2016-09-19 17:40:00","53"
"-10","7","2","10","13","0","0","0","1","0","0","77","67","74","76","86","99","79","2016-09-19 18:00:00","55"
"-10","7","2","10","13","0","0","0","0","1","0","77","67","74","76","86","99","79","2016-09-19 18:20:00","50"
"-10","7","2","10","13","0","0","0","0","0","1","77","67","74","76","86","99","79","2016-09-19 18:40:00","49"
"-2","23","25","7","7","1","0","0","0","0","0","33","31","54","79","86","93","62","2016-09-20 08:00:00","112"
"-2","23","25","7","7","0","1","0","0","0","0","33","31","54","79","86","93","62","2016-09-20 08:20:00","111"
"-2","23","25","7","7","0","0","1","0","0","0","33","31","54","79","86","93","62","2016-09-20 08:40:00","112"
"-2","23","25","7","7","0","0","0","1","0","0","33","31","54","79","86","93","62","2016-09-20 09:00:00","105"
"-2","23","25","7","7","0","0","0","0","1","0","33","31","54","79","86","93","62","2016-09-20 09:20:00","99"
"-2","23","25","7","7","0","0","0","0","0","1","33","31","54","79","86","93","62","2016-09-20 09:40:00","87"
"7","0","13","-6","-12","1","0","0","0","0","0","62","69","69","82","76","64","70","2016-09-20 17:00:00","82"
"7","0","13","-6","-12","0","1","0","0","0","0","62","69","69","82","76","64","70","2016-09-20 17:20:00","86"
"7","0","13","-6","-12","0","0","1","0","0","0","62","69","69","82","76","64","70","2016-09-20 17:40:00","85"
"7","0","13","-6","-12","0","0","0","1","0","0","62","69","69","82","76","64","70","2016-09-20 18:00:00","77"
"7","0","13","-6","-12","0","0","0","0","1","0","62","69","69","82","76","64","70","2016-09-20 18:20:00","60"
"7","0","13","-6","-12","0","0","0","0","0","1","62","69","69","82","76","64","70","2016-09-20 18:40:00","56"
"3","5","28","-5","7","1","0","0","0","0","0","6","9","14","42","37","44","25","2016-09-21 08:00:00","37"
