time,Entry
1,112
2,117
3,125
4,117
5,115
6,100
7,82
8,85
9,91
10,75
11,72
12,73
13,111
14,117
15,122
16,116
17,116
18,99
19,76
20,78
21,81
22,68
23,66
24,72
25,103
26,107
27,110
28,105
29,105
30,92
31,77
32,79
33,82
34,67
35,67
36,75
37,110
38,113
39,123
40,114
41,110
42,97
43,80
44,85
45,89
46,70
47,72
48,67
49,17
50,21
51,22
52,21
53,18
54,17
55,81
56,86
57,90
58,77
59,76
60,71
61,82
62,82
63,87
64,84
65,81
66,72
67,79
68,81
69,81
70,68
71,71
72,71
73,123
74,131
75,141
76,130
77,123
78,112
79,76
80,78
81,82
82,69
83,69
84,72
