delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_1_has_etc,pre_1_vehicle_model_0,pre_1_vehicle_model_1,pre_1_vehicle_model_2,pre_1_vehicle_model_3,pre_1_vehicle_model_4,pre_1_vehicle_model_5,pre_1_vehicle_model_6,pre_1_vehicle_model_7,pre_1_vehicle_type_0,pre_1_vehicle_type_1,pre_2,pre_2_has_etc,pre_2_vehicle_model_0,pre_2_vehicle_model_1,pre_2_vehicle_model_2,pre_2_vehicle_model_3,pre_2_vehicle_model_4,pre_2_vehicle_model_5,pre_2_vehicle_model_6,pre_2_vehicle_model_7,pre_2_vehicle_type_0,pre_2_vehicle_type_1,pre_3,pre_3_has_etc,pre_3_vehicle_model_0,pre_3_vehicle_model_1,pre_3_vehicle_model_2,pre_3_vehicle_model_3,pre_3_vehicle_model_4,pre_3_vehicle_model_5,pre_3_vehicle_model_6,pre_3_vehicle_model_7,pre_3_vehicle_type_0,pre_3_vehicle_type_1,pre_4,pre_4_has_etc,pre_4_vehicle_model_0,pre_4_vehicle_model_1,pre_4_vehicle_model_2,pre_4_vehicle_model_3,pre_4_vehicle_model_4,pre_4_vehicle_model_5,pre_4_vehicle_model_6,pre_4_vehicle_model_7,pre_4_vehicle_type_0,pre_4_vehicle_type_1,pre_5,pre_5_has_etc,pre_5_vehicle_model_0,pre_5_vehicle_model_1,pre_5_vehicle_model_2,pre_5_vehicle_model_3,pre_5_vehicle_model_4,pre_5_vehicle_model_5,pre_5_vehicle_model_6,pre_5_vehicle_model_7,pre_5_vehicle_type_0,pre_5_vehicle_type_1,pre_6,pre_6_has_etc,pre_6_vehicle_model_0,pre_6_vehicle_model_1,pre_6_vehicle_model_2,pre_6_vehicle_model_3,pre_6_vehicle_model_4,pre_6_vehicle_model_5,pre_6_vehicle_model_6,pre_6_vehicle_model_7,pre_6_vehicle_type_0,pre_6_vehicle_type_1,pre_avg,starttime,volume
"18.0","15.0","-2.0","13.0","35.0","1.0","0.0","0.0","0.0","0.0","0.0","39.0","6.0","0.0","27.0","6.0","3.0","1.0","0.0","2.0","0.0","18.0","21.0","57.0","8.0","0.0","44.0","9.0","1.0","0.0","3.0","0.0","0.0","35.0","22.0","72.0","11.0","0.0","52.0","14.0","0.0","0.0","3.0","0.0","3.0","39.0","33.0","70.0","14.0","0.0","53.0","13.0","1.0","0.0","3.0","0.0","0.0","51.0","19.0","83.0","19.0","0.0","70.0","6.0","3.0","2.0","2.0","0.0","0.0","62.0","21.0","118.0","35.0","0.0","106.0","5.0","3.0","2.0","2.0","0.0","0.0","99.0","19.0","73.0","2016-09-19 08:00:00","123.0"
"18.0","15.0","-2.0","13.0","35.0","0.0","1.0","0.0","0.0","0.0","0.0","39.0","6.0","0.0","27.0","6.0","3.0","1.0","0.0","2.0","0.0","18.0","21.0","57.0","8.0","0.0","44.0","9.0","1.0","0.0","3.0","0.0","0.0","35.0","22.0","72.0","11.0","0.0","52.0","14.0","0.0","0.0","3.0","0.0","3.0","39.0","33.0","70.0","14.0","0.0","53.0","13.0","1.0","0.0","3.0","0.0","0.0","51.0","19.0","83.0","19.0","0.0","70.0","6.0","3.0","2.0","2.0","0.0","0.0","62.0","21.0","118.0","35.0","0.0","106.0","5.0","3.0","2.0","2.0","0.0","0.0","99.0","19.0","73.0","2016-09-19 08:20:00","119.0"
"18.0","15.0","-2.0","13.0","35.0","0.0","0.0","1.0","0.0","0.0","0.0","39.0","6.0","0.0","27.0","6.0","3.0","1.0","0.0","2.0","0.0","18.0","21.0","57.0","8.0","0.0","44.0","9.0","1.0","0.0","3.0","0.0","0.0","35.0","22.0","72.0","11.0","0.0","52.0","14.0","0.0","0.0","3.0","0.0","3.0","39.0","33.0","70.0","14.0","0.0","53.0","13.0","1.0","0.0","3.0","0.0","0.0","51.0","19.0","83.0","19.0","0.0","70.0","6.0","3.0","2.0","2.0","0.0","0.0","62.0","21.0","118.0","35.0","0.0","106.0","5.0","3.0","2.0","2.0","0.0","0.0","99.0","19.0","73.0","2016-09-19 08:40:00","116.0"
"18.0","15.0","-2.0","13.0","35.0","0.0","0.0","0.0","1.0","0.0","0.0","39.0","6.0","0.0","27.0","6.0","3.0","1.0","0.0","2.0","0.0","18.0","21.0","57.0","8.0","0.0","44.0","9.0","1.0","0.0","3.0","0.0","0.0","35.0","22.0","72.0","11.0","0.0","52.0","14.0","0.0","0.0","3.0","0.0","3.0","39.0","33.0","70.0","14.0","0.0","53.0","13.0","1.0","0.0","3.0","0.0","0.0","51.0","19.0","83.0","19.0","0.0","70.0","6.0","3.0","2.0","2.0","0.0","0.0","62.0","21.0","118.0","35.0","0.0","106.0","5.0","3.0","2.0","2.0","0.0","0.0","99.0","19.0","73.0","2016-09-19 09:00:00","120.0"
"18.0","15.0","-2.0","13.0","35.0","0.0","0.0","0.0","0.0","1.0","0.0","39.0","6.0","0.0","27.0","6.0","3.0","1.0","0.0","2.0","0.0","18.0","21.0","57.0","8.0","0.0","44.0","9.0","1.0","0.0","3.0","0.0","0.0","35.0","22.0","72.0","11.0","0.0","52.0","14.0","0.0","0.0","3.0","0.0","3.0","39.0","33.0","70.0","14.0","0.0","53.0","13.0","1.0","0.0","3.0","0.0","0.0","51.0","19.0","83.0","19.0","0.0","70.0","6.0","3.0","2.0","2.0","0.0","0.0","62.0","21.0","118.0","35.0","0.0","106.0","5.0","3.0","2.0","2.0","0.0","0.0","99.0","19.0","73.0","2016-09-19 09:20:00","151.0"
"18.0","15.0","-2.0","13.0","35.0","0.0","0.0","0.0","0.0","0.0","1.0","39.0","6.0","0.0","27.0","6.0","3.0","1.0","0.0","2.0","0.0","18.0","21.0","57.0","8.0","0.0","44.0","9.0","1.0","0.0","3.0","0.0","0.0","35.0","22.0","72.0","11.0","0.0","52.0","14.0","0.0","0.0","3.0","0.0","3.0","39.0","33.0","70.0","14.0","0.0","53.0","13.0","1.0","0.0","3.0","0.0","0.0","51.0","19.0","83.0","19.0","0.0","70.0","6.0","3.0","2.0","2.0","0.0","0.0","62.0","21.0","118.0","35.0","0.0","106.0","5.0","3.0","2.0","2.0","0.0","0.0","99.0","19.0","73.0","2016-09-19 09:40:00","131.0"
"27.0","-12.0","18.0","12.0","-6.0","1.0","0.0","0.0","0.0","0.0","0.0","77.0","17.0","0.0","73.0","2.0","2.0","0.0","0.0","0.0","0.0","63.0","14.0","104.0","18.0","0.0","88.0","11.0","3.0","1.0","1.0","0.0","0.0","74.0","30.0","92.0","21.0","0.0","82.0","7.0","1.0","1.0","1.0","0.0","0.0","74.0","18.0","110.0","27.0","0.0","99.0","7.0","1.0","1.0","2.0","0.0","0.0","90.0","20.0","122.0","29.0","0.0","109.0","11.0","0.0","2.0","0.0","0.0","0.0","104.0","18.0","116.0","34.0","0.0","104.0","7.0","3.0","1.0","1.0","0.0","0.0","98.0","18.0","103.0","2016-09-19 17:00:00","96.0"
"27.0","-12.0","18.0","12.0","-6.0","0.0","1.0","0.0","0.0","0.0","0.0","77.0","17.0","0.0","73.0","2.0","2.0","0.0","0.0","0.0","0.0","63.0","14.0","104.0","18.0","0.0","88.0","11.0","3.0","1.0","1.0","0.0","0.0","74.0","30.0","92.0","21.0","0.0","82.0","7.0","1.0","1.0","1.0","0.0","0.0","74.0","18.0","110.0","27.0","0.0","99.0","7.0","1.0","1.0","2.0","0.0","0.0","90.0","20.0","122.0","29.0","0.0","109.0","11.0","0.0","2.0","0.0","0.0","0.0","104.0","18.0","116.0","34.0","0.0","104.0","7.0","3.0","1.0","1.0","0.0","0.0","98.0","18.0","103.0","2016-09-19 17:20:00","116.0"
"27.0","-12.0","18.0","12.0","-6.0","0.0","0.0","1.0","0.0","0.0","0.0","77.0","17.0","0.0","73.0","2.0","2.0","0.0","0.0","0.0","0.0","63.0","14.0","104.0","18.0","0.0","88.0","11.0","3.0","1.0","1.0","0.0","0.0","74.0","30.0","92.0","21.0","0.0","82.0","7.0","1.0","1.0","1.0","0.0","0.0","74.0","18.0","110.0","27.0","0.0","99.0","7.0","1.0","1.0","2.0","0.0","0.0","90.0","20.0","122.0","29.0","0.0","109.0","11.0","0.0","2.0","0.0","0.0","0.0","104.0","18.0","116.0","34.0","0.0","104.0","7.0","3.0","1.0","1.0","0.0","0.0","98.0","18.0","103.0","2016-09-19 17:40:00","112.0"
"27.0","-12.0","18.0","12.0","-6.0","0.0","0.0","0.0","1.0","0.0","0.0","77.0","17.0","0.0","73.0","2.0","2.0","0.0","0.0","0.0","0.0","63.0","14.0","104.0","18.0","0.0","88.0","11.0","3.0","1.0","1.0","0.0","0.0","74.0","30.0","92.0","21.0","0.0","82.0","7.0","1.0","1.0","1.0","0.0","0.0","74.0","18.0","110.0","27.0","0.0","99.0","7.0","1.0","1.0","2.0","0.0","0.0","90.0","20.0","122.0","29.0","0.0","109.0","11.0","0.0","2.0","0.0","0.0","0.0","104.0","18.0","116.0","34.0","0.0","104.0","7.0","3.0","1.0","1.0","0.0","0.0","98.0","18.0","103.0","2016-09-19 18:00:00","67.0"
