delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_1_has_etc,pre_1_vehicle_model_0,pre_1_vehicle_model_1,pre_1_vehicle_model_2,pre_1_vehicle_model_3,pre_1_vehicle_model_4,pre_1_vehicle_model_5,pre_1_vehicle_model_6,pre_1_vehicle_model_7,pre_1_vehicle_type_0,pre_1_vehicle_type_1,pre_2,pre_2_has_etc,pre_2_vehicle_model_0,pre_2_vehicle_model_1,pre_2_vehicle_model_2,pre_2_vehicle_model_3,pre_2_vehicle_model_4,pre_2_vehicle_model_5,pre_2_vehicle_model_6,pre_2_vehicle_model_7,pre_2_vehicle_type_0,pre_2_vehicle_type_1,pre_3,pre_3_has_etc,pre_3_vehicle_model_0,pre_3_vehicle_model_1,pre_3_vehicle_model_2,pre_3_vehicle_model_3,pre_3_vehicle_model_4,pre_3_vehicle_model_5,pre_3_vehicle_model_6,pre_3_vehicle_model_7,pre_3_vehicle_type_0,pre_3_vehicle_type_1,pre_4,pre_4_has_etc,pre_4_vehicle_model_0,pre_4_vehicle_model_1,pre_4_vehicle_model_2,pre_4_vehicle_model_3,pre_4_vehicle_model_4,pre_4_vehicle_model_5,pre_4_vehicle_model_6,pre_4_vehicle_model_7,pre_4_vehicle_type_0,pre_4_vehicle_type_1,pre_5,pre_5_has_etc,pre_5_vehicle_model_0,pre_5_vehicle_model_1,pre_5_vehicle_model_2,pre_5_vehicle_model_3,pre_5_vehicle_model_4,pre_5_vehicle_model_5,pre_5_vehicle_model_6,pre_5_vehicle_model_7,pre_5_vehicle_type_0,pre_5_vehicle_type_1,pre_6,pre_6_has_etc,pre_6_vehicle_model_0,pre_6_vehicle_model_1,pre_6_vehicle_model_2,pre_6_vehicle_model_3,pre_6_vehicle_model_4,pre_6_vehicle_model_5,pre_6_vehicle_model_6,pre_6_vehicle_model_7,pre_6_vehicle_type_0,pre_6_vehicle_type_1,pre_avg,starttime,volume
"19.0","13.0","56.0","-4.0","30.0","1.0","0.0","0.0","0.0","0.0","0.0","39.0","6.0","0.0","26.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","17.0","1.0","40.0","15.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","71.0","25.0","0.0","60.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","127.0","47.0","0.0","101.0","20.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","123.0","43.0","0.0","112.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","153.0","57.0","0.0","139.0","12.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","95.0","2016-09-19 08:00:00","161.0"
"19.0","13.0","56.0","-4.0","30.0","0.0","1.0","0.0","0.0","0.0","0.0","39.0","6.0","0.0","26.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","17.0","1.0","40.0","15.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","71.0","25.0","0.0","60.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","127.0","47.0","0.0","101.0","20.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","123.0","43.0","0.0","112.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","153.0","57.0","0.0","139.0","12.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","95.0","2016-09-19 08:20:00","167.0"
"19.0","13.0","56.0","-4.0","30.0","0.0","0.0","1.0","0.0","0.0","0.0","39.0","6.0","0.0","26.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","17.0","1.0","40.0","15.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","71.0","25.0","0.0","60.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","127.0","47.0","0.0","101.0","20.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","123.0","43.0","0.0","112.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","153.0","57.0","0.0","139.0","12.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","95.0","2016-09-19 08:40:00","138.0"
"19.0","13.0","56.0","-4.0","30.0","0.0","0.0","0.0","1.0","0.0","0.0","39.0","6.0","0.0","26.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","17.0","1.0","40.0","15.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","71.0","25.0","0.0","60.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","127.0","47.0","0.0","101.0","20.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","123.0","43.0","0.0","112.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","153.0","57.0","0.0","139.0","12.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","95.0","2016-09-19 09:00:00","174.0"
"19.0","13.0","56.0","-4.0","30.0","0.0","0.0","0.0","0.0","1.0","0.0","39.0","6.0","0.0","26.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","17.0","1.0","40.0","15.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","71.0","25.0","0.0","60.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","127.0","47.0","0.0","101.0","20.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","123.0","43.0","0.0","112.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","153.0","57.0","0.0","139.0","12.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","95.0","2016-09-19 09:20:00","144.0"
"19.0","13.0","56.0","-4.0","30.0","0.0","0.0","0.0","0.0","0.0","1.0","39.0","6.0","0.0","26.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","17.0","1.0","40.0","15.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","71.0","25.0","0.0","60.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","127.0","47.0","0.0","101.0","20.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","123.0","43.0","0.0","112.0","8.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","153.0","57.0","0.0","139.0","12.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","95.0","2016-09-19 09:40:00","148.0"
"-8.0","6.0","8.0","-12.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","117.0","27.0","0.0","94.0","22.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","109.0","28.0","0.0","90.0","18.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","33.0","0.0","96.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","27.0","0.0","102.0","19.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","111.0","26.0","1.0","95.0","14.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","116.0","28.0","0.0","89.0","26.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","2016-09-19 17:00:00","110.0"
"-8.0","6.0","8.0","-12.0","5.0","0.0","1.0","0.0","0.0","0.0","0.0","117.0","27.0","0.0","94.0","22.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","109.0","28.0","0.0","90.0","18.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","33.0","0.0","96.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","27.0","0.0","102.0","19.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","111.0","26.0","1.0","95.0","14.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","116.0","28.0","0.0","89.0","26.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","2016-09-19 17:20:00","118.0"
"-8.0","6.0","8.0","-12.0","5.0","0.0","0.0","1.0","0.0","0.0","0.0","117.0","27.0","0.0","94.0","22.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","109.0","28.0","0.0","90.0","18.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","33.0","0.0","96.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","27.0","0.0","102.0","19.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","111.0","26.0","1.0","95.0","14.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","116.0","28.0","0.0","89.0","26.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","2016-09-19 17:40:00","95.0"
"-8.0","6.0","8.0","-12.0","5.0","0.0","0.0","0.0","1.0","0.0","0.0","117.0","27.0","0.0","94.0","22.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","109.0","28.0","0.0","90.0","18.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","33.0","0.0","96.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","27.0","0.0","102.0","19.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","111.0","26.0","1.0","95.0","14.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","116.0","28.0","0.0","89.0","26.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","2016-09-19 18:00:00","94.0"
"-8.0","6.0","8.0","-12.0","5.0","0.0","0.0","0.0","0.0","1.0","0.0","117.0","27.0","0.0","94.0","22.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","109.0","28.0","0.0","90.0","18.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","33.0","0.0","96.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","27.0","0.0","102.0","19.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","111.0","26.0","1.0","95.0","14.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","116.0","28.0","0.0","89.0","26.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","2016-09-19 18:20:00","56.0"
"-8.0","6.0","8.0","-12.0","5.0","0.0","0.0","0.0","0.0","0.0","1.0","117.0","27.0","0.0","94.0","22.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","109.0","28.0","0.0","90.0","18.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","33.0","0.0","96.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","27.0","0.0","102.0","19.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","111.0","26.0","1.0","95.0","14.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","116.0","28.0","0.0","89.0","26.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","115.0","2016-09-19 18:40:00","61.0"
"12.0","37.0","33.0","28.0","-5.0","1.0","0.0","0.0","0.0","0.0","0.0","31.0","7.0","0.0","20.0","10.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","10.0","1.0","30.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","21.0","0.0","59.0","19.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","113.0","45.0","0.0","89.0","18.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","141.0","48.0","0.0","120.0","18.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","136.0","51.0","0.0","121.0","12.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","90.0","2016-09-20 08:00:00","145.0"
"12.0","37.0","33.0","28.0","-5.0","0.0","1.0","0.0","0.0","0.0","0.0","31.0","7.0","0.0","20.0","10.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","10.0","1.0","30.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","21.0","0.0","59.0","19.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","113.0","45.0","0.0","89.0","18.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","141.0","48.0","0.0","120.0","18.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","136.0","51.0","0.0","121.0","12.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","90.0","2016-09-20 08:20:00","173.0"
"12.0","37.0","33.0","28.0","-5.0","0.0","0.0","1.0","0.0","0.0","0.0","31.0","7.0","0.0","20.0","10.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","10.0","1.0","30.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","21.0","0.0","59.0","19.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","113.0","45.0","0.0","89.0","18.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","141.0","48.0","0.0","120.0","18.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","136.0","51.0","0.0","121.0","12.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","90.0","2016-09-20 08:40:00","154.0"
"12.0","37.0","33.0","28.0","-5.0","0.0","0.0","0.0","1.0","0.0","0.0","31.0","7.0","0.0","20.0","10.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","10.0","1.0","30.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","21.0","0.0","59.0","19.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","113.0","45.0","0.0","89.0","18.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","141.0","48.0","0.0","120.0","18.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","136.0","51.0","0.0","121.0","12.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","90.0","2016-09-20 09:00:00","144.0"
"12.0","37.0","33.0","28.0","-5.0","0.0","0.0","0.0","0.0","1.0","0.0","31.0","7.0","0.0","20.0","10.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","10.0","1.0","30.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","21.0","0.0","59.0","19.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","113.0","45.0","0.0","89.0","18.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","141.0","48.0","0.0","120.0","18.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","136.0","51.0","0.0","121.0","12.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","90.0","2016-09-20 09:20:00","142.0"
"12.0","37.0","33.0","28.0","-5.0","0.0","0.0","0.0","0.0","0.0","1.0","31.0","7.0","0.0","20.0","10.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","10.0","1.0","30.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","21.0","0.0","59.0","19.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","113.0","45.0","0.0","89.0","18.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","141.0","48.0","0.0","120.0","18.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","136.0","51.0","0.0","121.0","12.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","90.0","2016-09-20 09:40:00","144.0"
