tollgate_id,time_window,direction,volume,volume2,has_etc,has_etc2,vehicle_model_0,vehicle_model_1,vehicle_model_2,vehicle_model_3,vehicle_model_4,vehicle_model_5,vehicle_model_6,vehicle_model_7,vehicle_type_0,vehicle_type_1
1,2016/9/19 0:00,0,13,13,4,4,0,10,1,0,0,2,0,0,0,0
1,2016/9/19 0:20,0,6,13,1,4,0,6,0,0,0,0,0,0,0,0
1,2016/9/19 0:40,0,9,6,1,1,0,6,1,0,1,1,0,0,0,0
1,2016/9/19 1:00,0,10,9,1,1,0,7,0,0,0,3,0,0,0,0
1,2016/9/19 1:20,0,14,10,3,1,1,10,1,1,0,1,0,0,0,0
1,2016/9/19 1:40,0,10,14,0,3,0,9,0,0,0,1,0,0,0,0
1,2016/9/19 2:00,0,7,10,1,0,0,3,1,0,1,2,0,0,0,0
1,2016/9/19 2:20,0,10,7,1,1,0,3,5,0,0,2,0,0,0,0
1,2016/9/19 2:40,0,6,10,0,1,0,0,1,3,1,1,0,0,0,0
1,2016/9/19 3:00,0,9,6,0,0,0,5,2,0,0,2,0,0,0,0
1,2016/9/19 3:20,0,4,9,1,0,0,3,0,1,0,0,0,0,0,0
1,2016/9/19 3:40,0,9,4,2,1,0,5,1,2,0,1,0,0,0,0
1,2016/9/19 4:00,0,10,9,0,2,0,6,2,1,0,1,0,0,0,0
1,2016/9/19 4:20,0,13,10,0,0,0,9,2,1,0,1,0,0,0,0
1,2016/9/19 4:40,0,12,13,0,0,0,8,2,1,0,1,0,0,0,0
1,2016/9/19 5:00,0,2,12,0,0,0,0,2,0,0,0,0,0,0,0
1,2016/9/19 5:20,0,8,2,2,0,0,6,2,0,0,0,0,0,0,0
1,2016/9/19 5:40,0,13,8,2,2,0,12,1,0,0,0,0,0,0,0
1,2016/9/19 6:00,0,8,13,2,2,0,7,0,1,0,0,0,0,0,0
1,2016/9/19 6:20,0,13,8,5,2,0,12,1,0,0,0,0,0,0,0
1,2016/9/19 6:40,0,32,13,9,5,0,28,2,1,1,0,0,0,0,0
1,2016/9/19 7:00,0,39,32,10,9,0,34,3,1,1,0,0,0,0,0
1,2016/9/19 7:20,0,31,39,11,10,0,30,1,0,0,0,0,0,0,0
1,2016/9/19 7:40,0,43,31,16,11,0,40,2,1,0,0,0,0,0,0
1,2016/9/19 8:00,0,46,43,17,16,0,42,3,1,0,0,0,0,0,0
