time,Entry
1,143
2,152
3,138
4,143
5,129
6,129
7,106
8,108
9,93
10,74
11,61
12,54
13,150
14,152
15,144
16,150
17,143
18,127
19,98
20,103
21,96
22,81
23,77
24,65
25,144
26,149
27,145
28,143
29,138
30,130
31,122
32,118
33,110
34,93
35,82
36,68
37,147
38,147
39,144
40,152
41,139
42,128
43,151
44,129
45,118
46,114
47,104
48,96
49,117
50,115
51,125
52,127
53,123
54,128
55,109
56,113
57,94
58,80
59,74
60,63
61,112
62,108
63,117
64,117
65,115
66,117
67,119
68,115
69,100
70,84
71,76
72,63
73,159
74,152
75,142
76,135
77,127
78,120
79,111
80,111
81,106
82,86
83,72
84,68
