time,Entry
1,152
2,154
3,148
4,145
5,130
6,125
7,109
8,108
9,100
10,77
11,72
12,57
13,150
14,148
15,142
16,146
17,139
18,122
19,109
20,110
21,100
22,82
23,71
24,63
25,149
26,146
27,150
28,139
29,134
30,126
31,127
32,124
33,110
34,102
35,89
36,78
37,151
38,152
39,146
40,151
41,142
42,129
43,152
44,139
45,122
46,117
47,109
48,91
49,136
50,133
51,139
52,134
53,134
54,124
55,114
56,117
57,101
58,84
59,72
60,66
61,123
62,122
63,128
64,128
65,126
66,121
67,112
68,107
69,101
70,83
71,77
72,66
73,154
74,149
75,141
76,132
77,119
78,111
79,105
80,101
81,98
82,80
83,67
84,66
