time,Entry
1,113
2,117
3,125
4,116
5,114
6,100
7,81
8,84
9,90
10,76
11,74
12,73
13,115
14,119
15,125
16,117
17,115
18,102
19,76
20,79
21,81
22,69
23,67
24,67
25,108
26,113
27,117
28,109
29,106
30,97
31,83
32,86
33,90
34,77
35,76
36,77
37,110
38,114
39,121
40,114
41,110
42,97
43,80
44,85
45,88
46,69
47,72
48,70
49,20
50,21
51,23
52,23
53,21
54,19
55,82
56,86
57,89
58,78
59,77
60,72
61,75
62,76
63,79
64,77
65,75
66,69
67,78
68,81
69,81
70,68
71,71
72,69
73,116
74,125
75,131
76,121
77,115
78,104
79,80
80,82
81,86
82,74
83,74
84,73
