time,Entry
1,117
2,113
3,120
4,126
5,115
6,114
7,106
8,111
9,108
10,76
11,86
12,73
13,110
14,109
15,114
16,119
17,108
18,110
19,87
20,96
21,97
22,69
23,70
24,62
25,110
26,110
27,112
28,117
29,108
30,107
31,100
32,107
33,103
34,76
35,80
36,73
37,108
38,107
39,111
40,113
41,105
42,105
43,107
44,114
45,116
46,76
47,80
48,72
49,82
50,94
51,96
52,101
53,100
54,101
55,92
56,105
57,100
58,66
59,73
60,65
61,77
62,86
63,87
64,91
65,90
66,87
67,110
68,116
69,121
70,83
71,86
72,81
73,120
74,121
75,121
76,124
77,124
78,115
79,105
80,108
81,111
82,65
83,76
84,61
