is_holi,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,is_week,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
0,1,0,0,0,0,0,0,153,123,127,71,58,39,95,2016/9/19 8:00,161
0,0,1,0,0,0,0,0,153,123,127,71,58,39,95,2016/9/19 8:20,167
0,0,0,1,0,0,0,0,153,123,127,71,58,39,95,2016/9/19 8:40,138
0,0,0,0,1,0,0,0,153,123,127,71,58,39,95,2016/9/19 9:00,174
0,0,0,0,0,1,0,0,153,123,127,71,58,39,95,2016/9/19 9:20,144
0,0,0,0,0,0,1,0,153,123,127,71,58,39,95,2016/9/19 9:40,148
0,1,0,0,0,0,0,0,116,111,123,115,109,117,115,2016/9/19 17:00,110
0,0,1,0,0,0,0,0,116,111,123,115,109,117,115,2016/9/19 17:20,118
0,0,0,1,0,0,0,0,116,111,123,115,109,117,115,2016/9/19 17:40,95
0,0,0,0,1,0,0,0,116,111,123,115,109,117,115,2016/9/19 18:00,94
0,0,0,0,0,1,0,0,116,111,123,115,109,117,115,2016/9/19 18:20,56
0,0,0,0,0,0,1,0,116,111,123,115,109,117,115,2016/9/19 18:40,61
0,1,0,0,0,0,0,0,136,141,113,80,43,31,90,2016/9/20 8:00,145
0,0,1,0,0,0,0,0,136,141,113,80,43,31,90,2016/9/20 8:20,173
0,0,0,1,0,0,0,0,136,141,113,80,43,31,90,2016/9/20 8:40,154
0,0,0,0,1,0,0,0,136,141,113,80,43,31,90,2016/9/20 9:00,144
0,0,0,0,0,1,0,0,136,141,113,80,43,31,90,2016/9/20 9:20,142
0,0,0,0,0,0,1,0,136,141,113,80,43,31,90,2016/9/20 9:40,144
0,1,0,0,0,0,0,0,122,113,122,131,132,124,124,2016/9/20 17:00,126
0,0,1,0,0,0,0,0,122,113,122,131,132,124,124,2016/9/20 17:20,116
0,0,0,1,0,0,0,0,122,113,122,131,132,124,124,2016/9/20 17:40,95
0,0,0,0,1,0,0,0,122,113,122,131,132,124,124,2016/9/20 18:00,81
0,0,0,0,0,1,0,0,122,113,122,131,132,124,124,2016/9/20 18:20,100
0,0,0,0,0,0,1,0,122,113,122,131,132,124,124,2016/9/20 18:40,63
0,1,0,0,0,0,0,0,151,133,116,85,47,32,94,2016/9/21 8:00,135
0,0,1,0,0,0,0,0,151,133,116,85,47,32,94,2016/9/21 8:20,163
0,0,0,1,0,0,0,0,151,133,116,85,47,32,94,2016/9/21 8:40,120
